Rank,Name,Final score,Country,Industry
527,Mercedes-Benz,71.53,Germany,Automotive (Producers and Suppliers)
528,Babcock International,71.53,United Kingdom,"Engineering, Manufacturing"
529,Aldi Nord,71.51,Germany,Retail
530,Air Dolomiti,71.45,Italy,Transportation and Logistics
531,Scheidt & Bachmann,71.45,Germany,"Semiconductors, Electronics, Electrical Engineering, Hardware"
532,BlackRock,71.42,United Kingdom,Banking and Financial Services
533,Accenture,71.41,Ireland,"IT, Internet, Software and Services"
534,Lindner Hotels & Resorts,71.34,Germany,Travel and Leisure
535,Fater,71.3,Italy,Packaged Goods
536,Veolia,71.26,France,Utilities
537,SEB (Skandinaviska Enskilda Banken) Group,71.24,Sweden,Banking and Financial Services
538,ARAG,71.23,Germany,Insurance
539,Melitta,71.22,Germany,"Food, Soft Beverages, Alcohol and Tobacco"
540,Greiner,71.21,Austria,"Manufacture and processing of materials, metals and paper"
541,Otis,71.15,Sweden,"Engineering, Manufacturing"
542,Yaskawa,71.13,Germany,Healthcare Equipment and Services
543,Wavin,71.13,Netherlands,Wholesale
544,WÃ¼rth Group,71.13,Germany,Wholesale
545,Veepee,71.09,France,Retail
546,Acer,71.07,Switzerland,"Semiconductors, Electronics, Electrical Engineering, Hardware"
547,Alfred Talke,71.06,Germany,Transportation and Logistics
548,SADE (Compagnie GÃ©nÃ©rale de Travaux dâ€™Hydrauliques),71.06,France,Construction
549,Paprec,71.03,France,Utilities
550,XPO,70.97,France,Transportation and Logistics
551,Konica Minolta,70.91,Germany,"Semiconductors, Electronics, Electrical Engineering, Hardware"
552,Technip Energies,70.9,France,Utilities
553,Johnson Controls,70.89,Ireland,Automotive (Producers and Suppliers)
554,Bijou Brigitte,70.89,Germany,Retail
555,Lonza,70.86,Switzerland,Drugs and Biotechnology
556,SPIE,70.8,France,Construction
557,Fanuc,70.77,Luxembourg,"Engineering, Manufacturing"
558,Goldman Sachs,70.75,Germany,Banking and Financial Services
559,easyJet,70.74,United Kingdom,Transportation and Logistics
560,Electro DÃ©pÃ´t,70.66,France,Retail
561,KSB,70.65,Germany,"Manufacture and Processing of Materials, Metals and Paper"
562,Marsh & McLennan Companies,70.62,Germany,Consulting and Accounting
563,Storck,70.6,Germany,"Food, Soft Beverages, Alcohol and Tobacco"
564,Migros,70.59,Switzerland,Retail
565,Groupe BPCE,70.56,France,Banking and Financial Services
566,IQVIA,70.56,United Kingdom,Consulting and Accounting
567,Murex,70.52,France,"IT, Internet, Software and Services"
568,BOS Gruppe,70.45,Germany,Automotive (Producers and Suppliers)
